Size of N for NxN,Time,Parallelization,Location,mpi_size
10,0.0010306835174560547,True,PC,4
100,0.19322919845581055,True,PC,4
500,27.187418222427368,True,PC,4
1000,221.61685943603516,True,PC,4
10,0.0010900497436523438,False,PC,1
100,0.8669865131378174,False,PC,1
500,111.16102385520935,False,PC,1
1000,913.721809387207,False,PC,1
