Size of N for NxN,Time,Parallelization,Location,mpi_size
10,0.0011916160583496094,True,PC,4
100,0.23849964141845703,True,PC,4
250,3.4051334857940674,True,PC,4
500,27.652130842208862,True,PC,4
750,94.66831183433533,True,PC,4
10,0.0010941028594970703,False,PC,1
100,0.8085136413574219,False,PC,1
250,13.727216958999634,False,PC,1
500,107.30985379219055,False,PC,1
750,358.88369154930115,False,PC,1
